,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
305,Ambilobe,MG,-13.2,49.05,63.82,88,10,3.2,clear sky
306,Shimoda,JP,34.6667,138.95,75.56,95,100,3.56,moderate rain
307,Nhulunbuy,AU,-12.2333,136.7667,79.41,53,40,17.27,scattered clouds
308,Thunder Bay,CA,48.4001,-89.3168,67.98,82,20,6.91,few clouds
309,Rocha,UY,-34.4833,-54.3333,54.95,99,100,4.5,overcast clouds
310,Wanning,CN,18.8003,110.3967,87.44,73,98,9.44,overcast clouds
311,Newport,GB,51.5877,-2.9984,60.46,80,57,6.24,broken clouds
312,Itarema,BR,-2.9248,-39.9167,78.19,79,42,11.59,scattered clouds
313,Viedma,AR,-40.8135,-62.9967,43.81,79,100,13.42,overcast clouds
314,Ambon,ID,-3.6954,128.1814,77.14,94,40,4.61,scattered clouds
315,Grand Gaube,MU,-20.0064,57.6608,70.38,74,99,5.99,overcast clouds
316,Birao,CF,10.2849,22.7882,70.59,88,97,1.81,overcast clouds
317,Baruun-Urt,MN,46.6806,113.2792,69.76,66,98,6.73,overcast clouds
318,Ambanja,MG,-13.6833,48.45,67.26,76,5,4.07,clear sky
319,Kiama,AU,-34.6833,150.8667,62.58,52,100,1.99,overcast clouds
320,Yako,BF,12.9667,-2.2667,75.38,80,100,7.07,light rain
321,Edd,ER,13.9297,41.6925,91.81,52,88,6.13,overcast clouds
322,Cravo Norte,CO,6.3017,-70.2041,77.25,79,57,4.16,broken clouds
323,Nizhniy Kuranakh,RU,58.8353,125.4869,85.14,50,19,1.05,few clouds
324,Takoradi,GH,4.8845,-1.7554,75.07,89,100,10.65,light rain
325,Yar-Sale,RU,66.8333,70.8333,61.74,53,9,8.99,clear sky
326,Lishu,CN,43.3047,124.3278,68.0,85,100,9.06,overcast clouds
327,Pemberton,CA,50.3164,-122.8027,64.47,88,90,3.6,overcast clouds
328,Aklavik,CA,68.2191,-135.0107,61.29,40,85,8.48,overcast clouds
329,Tiznit,MA,29.5833,-9.5,79.14,45,73,1.81,broken clouds
330,Santa Maria,BR,-29.6842,-53.8069,64.76,90,100,4.99,moderate rain
331,Kangaatsiaq,GL,68.3065,-53.4641,38.46,91,82,17.85,broken clouds
332,Meulaboh,ID,4.1363,96.1285,80.76,76,50,2.55,scattered clouds
333,Jiangyin,CN,31.9282,120.3126,80.98,81,100,3.24,overcast clouds
334,San Ignacio,BZ,17.1561,-89.0714,80.74,89,75,0.0,broken clouds
335,Booue,GA,-0.0921,11.9385,71.29,86,24,2.26,few clouds
336,Hasaki,JP,35.7333,140.8333,77.4,89,100,8.32,light rain
337,Dossor,KZ,47.5272,52.9811,77.92,35,0,8.61,clear sky
338,Muros,ES,42.7762,-9.0603,67.15,92,28,0.45,scattered clouds
339,Podgornoye,RU,51.735,39.1496,64.62,94,100,8.95,overcast clouds
340,Port Keats,AU,-14.25,129.55,77.83,45,9,8.08,clear sky
341,Ishigaki,JP,24.3448,124.1572,89.73,84,75,11.5,broken clouds
342,Carbonia,IT,39.1672,8.5222,73.0,50,0,2.59,clear sky
343,Ruteng,ID,-8.6136,120.4721,69.28,73,44,2.39,scattered clouds
344,San Cristobal,VE,7.7669,-72.225,71.78,98,41,2.48,scattered clouds
345,Ambato,EC,-1.2491,-78.6168,56.89,58,100,4.09,overcast clouds
346,Rochefort,FR,45.9167,-1.0,67.86,55,79,3.0,broken clouds
347,Harlau,RO,47.4333,26.9,69.17,74,94,6.31,overcast clouds
348,Necochea,AR,-38.5473,-58.7368,47.82,93,100,18.1,overcast clouds
349,Hami,CN,42.8,93.45,86.4,8,100,16.42,overcast clouds
