City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Zhigansk,RU,2022-07-04 18:00:41,66.7697,123.3711,62.49,57,66,10.31
132,Ketchikan,US,2022-07-04 18:00:41,55.3422,-131.6461,63.59,83,89,4.63
133,Ilulissat,GL,2022-07-04 18:00:42,69.2167,-51.1,53.62,54,0,8.05
134,Torbay,CA,2022-07-04 18:00:42,47.6666,-52.7314,60.58,85,90,1.01
135,Mahibadhoo,MV,2022-07-04 18:00:43,3.7833,72.9667,83.25,75,93,15.1
136,Tuktoyaktuk,CA,2022-07-04 18:00:47,69.4541,-133.0374,64.54,55,7,8.7
137,New Norfolk,AU,2022-07-04 18:00:47,-42.7826,147.0587,45.9,87,37,1.01
138,Altamont,US,2022-07-04 18:00:48,42.2068,-121.7372,59.77,78,100,0.51
139,Port Moresby,PG,2022-07-04 18:00:48,-9.4431,147.1797,75.18,91,54,3.42
140,Batagay-Alyta,RU,2022-07-04 18:00:48,67.8006,130.4114,65.46,51,100,16.24
141,Bundibugyo,UG,2022-07-04 18:00:49,0.7414,30.0417,72.18,55,87,3.4
142,Asau,RO,2022-07-04 18:00:49,46.4333,26.4,79.72,74,92,2.37
143,Khatanga,RU,2022-07-04 18:00:50,71.9667,102.5,45.34,66,99,0.56
144,San Juan,AR,2022-07-04 18:00:03,-31.5375,-68.5364,59.32,18,0,1.54
145,Tigil,RU,2022-07-04 18:00:50,57.8,158.6667,46.42,88,65,2.86
146,Arraial Do Cabo,BR,2022-07-04 18:00:51,-22.9661,-42.0278,73.24,76,0,21.77
147,San Patricio,US,2022-07-04 18:00:51,28.017,-97.5169,96.17,44,3,18.14
148,Sant Julia De Loria,AD,2022-07-04 18:00:51,42.4625,1.4825,86.11,39,15,5.39
149,Bengkulu,ID,2022-07-04 18:00:52,-3.8004,102.2655,75.83,91,75,4.5
150,Mapiripan,CO,2022-07-04 18:00:52,2.8892,-72.1256,82.09,75,62,2.08
151,Tasiilaq,GL,2022-07-04 18:00:53,65.6145,-37.6368,48.36,80,76,3.96
152,Champerico,GT,2022-07-04 18:00:53,14.3,-91.9167,84.0,73,74,5.77
153,Qasigiannguit,GL,2022-07-04 18:00:53,68.8193,-51.1922,53.85,56,10,6.76
154,Pita,GN,2022-07-04 18:00:54,10.8333,-12.5833,74.43,95,96,3.22
155,Tautira,PF,2022-07-04 18:00:54,-17.7333,-149.15,77.49,77,47,15.77
156,Rorvik,NO,2022-07-04 18:00:55,64.8621,11.2373,62.71,88,75,3.44
157,Faya,SA,2022-07-04 18:00:55,18.3851,42.4509,67.77,46,24,7.0
158,Noumea,NC,2022-07-04 17:58:45,-22.2763,166.4572,75.0,99,76,9.78
159,Fare,PF,2022-07-04 18:00:56,-16.7,-151.0167,78.39,75,18,11.92
160,Moindou,NC,2022-07-04 18:00:56,-21.6924,165.677,71.13,85,92,6.26
161,Zambezi,ZM,2022-07-04 18:00:57,-13.5432,23.1047,59.94,59,33,6.53
162,Victoria,HK,2022-07-04 17:56:02,22.2855,114.1577,84.38,87,100,15.99
163,Gigmoto,PH,2022-07-04 18:00:57,13.7796,124.39,78.73,85,91,2.68
164,La Romana,DO,2022-07-04 17:58:08,18.4273,-68.9728,91.76,55,40,13.8
165,Talnakh,RU,2022-07-04 18:00:58,69.4865,88.3972,53.06,62,7,12.19
166,Abu Samrah,SY,2022-07-04 18:00:59,35.3029,37.1841,84.83,27,0,11.79
167,Solton,RU,2022-07-04 18:00:59,52.8429,86.4787,56.3,66,30,3.91
168,Katsuura,JP,2022-07-04 18:00:59,35.1333,140.3,76.01,87,100,13.4
169,Mackenzie,CA,2022-07-04 18:01:00,55.2999,-123.1698,70.77,34,6,12.33
170,Leningradskiy,RU,2022-07-04 18:01:00,69.3833,178.4167,46.24,75,100,3.0
171,Grand Gaube,MU,2022-07-04 18:01:01,-20.0064,57.6608,70.38,68,33,3.0
